Alteon Name,Alteon IP,Virt,Group,Real,Filter,Recommendation,Priority,CLI Command
ilscha03-entsvcslb-01-Tableau,10.32.156.103,Tableau-Dev-Group-8060,N/A,N/A,N/A,"""Return to Last Hop"" is disabled. It is recommended to enable to prevent asymmetric routing back which may occur",High,/cfg/slb/virt Tableau-Dev-Group-8060/rtsrcmac e
ilscha03-entsvcslb-01-Tableau,10.32.156.103,Tableau-Prod-Group-2,N/A,N/A,N/A,"""Return to Last Hop"" is disabled. It is recommended to enable to prevent asymmetric routing back which may occur",High,/cfg/slb/virt Tableau-Prod-Group-2/rtsrcmac e
ilscha03-entsvcslb-01-Tableau,10.32.156.103,Tableau-Prod-Group-2-8060,N/A,N/A,N/A,"""Return to Last Hop"" is disabled. It is recommended to enable to prevent asymmetric routing back which may occur",High,/cfg/slb/virt Tableau-Prod-Group-2-8060/rtsrcmac e
ilscha03-entsvcslb-01-Tableau,10.32.156.103,Tableau-Prod-Group-8060,N/A,N/A,N/A,"""Return to Last Hop"" is disabled. It is recommended to enable to prevent asymmetric routing back which may occur",High,/cfg/slb/virt Tableau-Prod-Group-8060/rtsrcmac e
ilscha03-entsvcslb-01-Tableau,10.32.156.103,N/A,N/A,N/A,N/A,"Radius protocol is not routed through management interface. If Radius is in use, it is recommended to use mangement interface for Radius communication",Low,/cfg/sys/mmgmt/radius mgmt
ilscha03-entsvcslb-01-Tableau,10.32.156.103,N/A,N/A,N/A,N/A,"Tacacs+ protocol is not routed through management interface. If Tacacs+ protocol is in use, it is recommended to use mangement interface for Tacacs+ communication",Low,/cfg/sys/mmgmt/tacacs mgmt
ilscha03-entsvcslb-01-Tableau,10.32.156.103,N/A,N/A,N/A,N/A,Syslog protocol is not routed through management interface. It is recommended to use mangement interface for sending syslog.,Low,/cfg/sys/mmgmt/syslog mgmt
ilscha03-entsvcslb-01-Tableau,10.32.156.103,N/A,N/A,N/A,N/A,SNMP Traps are not routed through management interface. It is recommended to use mangement interface for sending SNMP Traps.,Low,/cfg/sys/mmgmt/snmp mgmt
ilscha03-entsvcslb-01-Tableau,10.32.156.103,N/A,N/A,N/A,N/A,"FTP, TFTP, SCP protocols are not routed through management interface. It is recommended to use mangement interface for FTP, TFTP, SCP communication",Low,/cfg/sys/mmgmt/tftp mgmt
ilscha03-entsvcslb-01-Tableau,10.32.156.103,N/A,N/A,N/A,N/A,NTP communication is not routed through management interface. It is recommended to use mangement interface for NTP communication,Low,/cfg/sys/mmgmt/ntp mgmt
